Fecha,Producto,Categoria,Cantidad,Precio Unitario
2024-04-15,Laptop,Electrónica,2,850000
2024-12-14,Audífonos,Electrónica,1,60000
2024-10-18,Monitor,Electrónica,3,180000
2024-06-28,Mouse,Oficina,1,15000
2024-12-15,Impresora,Oficina,1,120000
2024-11-08,Audífonos,Electrónica,1,60000
2024-10-02,Tablet,Electrónica,4,350000
2024-10-28,Teclado,Oficina,3,25000
2024-01-15,Escritorio,Muebles,1,130000
2024-09-07,Celular,Electrónica,5,450000
2024-04-22,Silla ergonómica,Muebles,2,75000
2024-06-09,Audífonos,Electrónica,3,60000
2024-12-06,Tablet,Electrónica,5,350000
2024-05-05,Tablet,Electrónica,5,350000
2024-08-06,Teclado,Oficina,3,25000
2024-10-16,Mouse,Oficina,5,15000
2024-09-30,Escritorio,Muebles,4,130000
2024-04-26,Silla ergonómica,Muebles,3,75000
2024-08-10,Celular,Electrónica,5,450000
2024-03-19,Teclado,Oficina,3,25000
2024-08-11,Escritorio,Muebles,4,130000
2024-07-17,Silla ergonómica,Muebles,3,75000
2024-03-08,Laptop,Electrónica,5,850000
2024-05-28,Celular,Electrónica,4,450000
2024-08-19,Silla ergonómica,Muebles,3,75000
2024-01-06,Silla ergonómica,Muebles,2,75000
2024-10-30,Teclado,Oficina,4,25000
2024-01-05,Mouse,Oficina,5,15000
2024-03-09,Tablet,Electrónica,1,350000
2024-06-03,Escritorio,Muebles,4,130000
2024-12-15,Impresora,Oficina,4,120000
2024-06-29,Monitor,Electrónica,5,180000
2024-06-27,Impresora,Oficina,3,120000
2024-11-06,Teclado,Oficina,1,25000
2024-02-23,Impresora,Oficina,3,120000
2024-09-02,Audífonos,Electrónica,3,60000
2024-07-08,Tablet,Electrónica,4,350000
2024-10-26,Impresora,Oficina,3,120000
2024-04-23,Tablet,Electrónica,2,350000
2024-04-07,Mouse,Oficina,5,15000
2024-10-11,Teclado,Oficina,2,25000
2024-04-28,Mouse,Oficina,4,15000
2024-12-26,Laptop,Electrónica,5,850000
2024-08-31,Laptop,Electrónica,2,850000
2024-10-31,Teclado,Oficina,1,25000
2024-06-19,Mouse,Oficina,3,15000
2024-01-03,Impresora,Oficina,3,120000
2024-09-25,Audífonos,Electrónica,2,60000
2024-04-15,Tablet,Electrónica,5,350000
2024-07-13,Escritorio,Muebles,3,130000
2024-08-16,Monitor,Electrónica,5,180000
2024-08-17,Monitor,Electrónica,4,180000
2024-06-25,Teclado,Oficina,5,25000
2024-06-02,Audífonos,Electrónica,4,60000
2024-11-30,Celular,Electrónica,4,450000
2024-05-08,Laptop,Electrónica,4,850000
2024-12-14,Laptop,Electrónica,3,850000
2024-09-29,Audífonos,Electrónica,4,60000
2024-04-13,Silla ergonómica,Muebles,1,75000
2024-07-18,Tablet,Electrónica,1,350000
2024-09-08,Audífonos,Electrónica,4,60000
2024-03-14,Impresora,Oficina,4,120000
2024-01-11,Escritorio,Muebles,3,130000
2024-07-11,Audífonos,Electrónica,5,60000
2024-10-03,Celular,Electrónica,2,450000
2024-09-24,Impresora,Oficina,4,120000
2024-06-05,Audífonos,Electrónica,3,60000
2024-02-23,Audífonos,Electrónica,5,60000
2024-04-25,Laptop,Electrónica,1,850000
2024-11-11,Tablet,Electrónica,2,350000
2024-09-09,Celular,Electrónica,4,450000
2024-10-18,Impresora,Oficina,2,120000
2024-12-22,Teclado,Oficina,3,25000
2024-02-07,Audífonos,Electrónica,4,60000
2024-10-18,Teclado,Oficina,1,25000
2024-04-02,Escritorio,Muebles,3,130000
2024-10-13,Audífonos,Electrónica,4,60000
2024-04-20,Impresora,Oficina,5,120000
2024-08-09,Tablet,Electrónica,2,350000
2024-12-02,Escritorio,Muebles,5,130000
2024-05-06,Silla ergonómica,Muebles,1,75000
2024-04-12,Audífonos,Electrónica,4,60000
2024-09-11,Impresora,Oficina,2,120000
2024-11-16,Teclado,Oficina,4,25000
2024-12-06,Impresora,Oficina,4,120000
2024-05-06,Tablet,Electrónica,4,350000
2024-05-08,Escritorio,Muebles,5,130000
2024-01-12,Laptop,Electrónica,1,850000
2024-01-28,Escritorio,Muebles,2,130000
2024-08-08,Escritorio,Muebles,2,130000
2024-08-09,Escritorio,Muebles,5,130000
2024-06-25,Tablet,Electrónica,2,350000
2024-02-10,Silla ergonómica,Muebles,2,75000
2024-07-14,Laptop,Electrónica,5,850000
2024-01-01,Mouse,Oficina,1,15000
2024-04-20,Teclado,Oficina,4,25000
2024-06-27,Escritorio,Muebles,5,130000
2024-08-10,Teclado,Oficina,1,25000
2024-01-16,Impresora,Oficina,2,120000
2024-08-09,Impresora,Oficina,3,120000
